Changed?;Location;String;String_uk;
;Tutorial;Click on the chest to|walk over to it!;Click on the chest to|walk over to it!;
;Tutorial;It's an enemy! Charge!;It's an enemy! Charge!;
;Tutorial;Drag your dice to the|sword to use it.;Drag your dice to the|sword to use it.;
;Tutorial;Nice! Because you used a 5,|that did 5 damage.;Nice! Because you used a 5,|that did 5 damage.;
;Tutorial;Now, it's his turn...;Now, it's his turn...;
;Tutorial;Click the [yellow]End Turn[] button|when you're ready.;Click the [yellow]End Turn[] button|when you're ready.;
;Tutorial;Yikes. When that thing hits|zero, it's going to hurt.;Yikes. When that thing hits|zero, it's going to hurt.;
;Tutorial;Oh no, you rolled a 1!;Oh no, you rolled a 1!;
;Tutorial;It's ok, this happens from time to time.;It's ok, this happens from time to time.;
;Tutorial;The Warrior has a special ability.;The Warrior has a special ability.;
;Tutorial;You can reroll up to|three times a turn!;You can reroll up to|three times a turn!;
;Tutorial;A 4! Try again!;A 4! Try again!;
;Tutorial;A 3! One more try...;A 3! One more try...;
;Tutorial;A 6! Perfect!;A 6! Perfect!;
;Tutorial;Alright, let's use it|on our Sword!;Alright, let's use it|on our Sword!;
;Tutorial;Bam! 6 damage!;Bam! 6 damage!;
;Tutorial;Uh oh...;Uh oh...;
;Tutorial;Ouch.;Ouch.;
;Tutorial;When you take damage, it charges|up your [yellow]Limit Break[]...;When you take damage, it charges|up your [yellow]Limit Break[]...;
;Tutorial;Click on [Yellow]Fury[] to use it!;Click on [Yellow]Fury[] to use it!;
;Tutorial;We're all charged up!|Rwrarrrrr!;We're all charged up!|Rwrarrrrr!;
;Tutorial;Bam!;Bam!;
;Tutorial;It's another enemy!;It's another enemy!;
;Tutorial;This [yellow]Battle Axe[] is more powerful|than your sword, but needs 4 or less...;This [yellow]Battle Axe[] is more powerful|than your sword, but needs 4 or less...;
;Tutorial;Perfect!;Perfect!;
;Tutorial;Ah. Now you can't use the|[yellow]Battle Axe[]! Oh well!;Ah. Now you can't use the|[yellow]Battle Axe[]! Oh well!;
;Tutorial;Some equipment will inflict|status effects when used.;Some equipment will inflict|status effects when used.;
;Tutorial;This fireball, for example?|It's going to [fire]BURN.[fire];This fireball, for example?|It's going to [fire]BURN.[fire];
;Tutorial;Look! It's the exit!;Look! It's the exit!;
;Tutorial;Eat apples to restore health!;Eat apples to restore health!;
;Tutorial;You can rearrange your|equipment from here.;You can rearrange your|equipment from here.;
;Tutorial;You get all your health back|when you level up!;You get all your health back|when you level up!;
;Tutorial;If you want, you can see what|the enemy's moves are here.;If you want, you can see what|the enemy's moves are here.;
;General;(audience cheers);(audience cheers);
;Warrior 1 (Jester speaking);Welcome to...;Welcome to...;
;Warrior 1 (Jester speaking);Diceeeeeeey Duuuuuungeeeeons!;Diceeeeeeey Duuuuuungeeeeons!;
;Warrior 1 (Jester speaking);The only game show where YOU could|win your heart's greatest desire!;The only game show where YOU could|win your heart's greatest desire!;
;Warrior 1 (Jester speaking);But will you fulfill your dreams...|or your nightmares?;But will you fulfill your dreams...|or your nightmares?;
;Warrior 1 (Jester speaking);Let's find out with our host for this evening...;Let's find out with our host for this evening...;
;Warrior 1 (Jester speaking);and for eternity...;and for eternity...;
;Warrior 1 (Jester speaking);it's Lady LUCK!;it's Lady LUCK!;
;Warrior 1 (Lady Luck Speaking);Thank you! Thank you all, my dears and my darlings!;Thank you! Thank you all, my dears and my darlings!;
;Warrior 1 (Lady Luck Speaking);And welcome back to my labyrinth of endless terror!;And welcome back to my labyrinth of endless terror!;
;Warrior 1 (Lady Luck Speaking);Will our newest contestants win big or lose it all?;Will our newest contestants win big or lose it all?;
;Warrior 1 (Lady Luck Speaking);Let's find out as we meet...;Let's find out as we meet...;
;Warrior 1 (Lady Luck Speaking);... the Warrior!;... the Warrior!;
;Warrior 1 (Warrior Speaking);Whoa! I'm a dice!;Whoa! I'm a dice!;
;Warrior 1 (Lady Luck Speaking);Yes, dear. That's how this works.;Yes, dear. That's how this works.;
;Warrior 1 (Lady Luck Speaking);Tell me, Warrior, what secret emptiness has driven|you to risk eternal imprisonment at the hands of fate?;Tell me, Warrior, what secret emptiness has driven|you to risk eternal imprisonment at the hands of fate?;
;Warrior 1 (Warrior Speaking);...what?;...what?;
;Warrior 1 (Lady Luck Speaking);My dear, what are you playing for today?;My dear, what are you playing for today?;
;Warrior 1 (Warrior Speaking);Oh! I'm playing to win a monster truck.;Oh! I'm playing to win a monster truck.;
;Warrior 1 (Warrior Speaking);And to become the strongest man|in the world!;And to become the strongest man|in the world!;
;Warrior 1 (Lady Luck Speaking);Inspirational!;Inspirational!;
;Warrior 1 (Lady Luck Speaking);Well, you know what we say here in Dicey Dungeons.;Well, you know what we say here in Dicey Dungeons.;
;Warrior 1 (Lady Luck Speaking);Luck might be against you, but it's too|late to change your mind now!;Luck might be against you, but it's too|late to change your mind now!;
;Warrior 2 (Lady Luck Speaking);It's time for another episode of Dicey Dungeons,|with our feisty little fighter, the Warrior!;It's time for another episode of Dicey Dungeons,|with our feisty little fighter, the Warrior!;
;Warrior 2 (Warrior Speaking);Hey, Lady Luck! I'm doing great, aren't I?;Hey, Lady Luck! I'm doing great, aren't I?;
;Warrior 2 (Lady Luck Speaking);You sure are!;You sure are!;
;Warrior 2 (Warrior Speaking);If I keep this up I'll have that|monster truck in no time!;If I keep this up I'll have that|monster truck in no time!;
;Warrior 2 (Lady Luck Speaking);So determined! And I think you may be right: you|WILL have that monster truck in... [quote]no time[quote].;So determined! And I think you may be right: you|WILL have that monster truck in... [quote]no time[quote].;
;Warrior 2 (Warrior Speaking);Yeah! Wait, what?;Yeah! Wait, what?;
;Warrior 2 (Lady Luck Speaking);...it's a double meaning, you see.|[quote]No time[quote] could also mean [quote]never[quote].;...it's a double meaning, you see.|[quote]No time[quote] could also mean [quote]never[quote].;
;Warrior 2 (Lady Luck Speaking);Please don't tell me I need to make this any clearer.;Please don't tell me I need to make this any clearer.;
;Warrior 2 (Warrior Speaking);Wait, but I'm doing great! You just said!;Wait, but I'm doing great! You just said!;
;Warrior 2 (Lady Luck Speaking);OF COURSE I did, and of course none of us have any reason|to believe that my show isn't completely fair.;OF COURSE I did, and of course none of us have any reason|to believe that my show isn't completely fair.;
;Warrior 2 (Lady Luck Speaking);So in you go for another round!;So in you go for another round!;
;Warrior 3 (Lady Luck Speaking);Warrior, my love! How are you getting on?;Warrior, my love! How are you getting on?;
;Warrior 3 (Lady Luck Speaking);You know, if you stop fighting against me and start|working really hard on being a good minion...;You know, if you stop fighting against me and start|working really hard on being a good minion...;
;Warrior 3 (Lady Luck Speaking);...then in a couple hundred years you might|have a shot at becoming a level boss.;...then in a couple hundred years you might|have a shot at becoming a level boss.;
;Warrior 3 (Warrior Speaking);What? No! I'm getting on fine!;What? No! I'm getting on fine!;
;Warrior 3 (Warrior Speaking);I'm going to win this!;I'm going to win this!;
;Warrior 3 (Lady Luck Speaking);You're really not, you know.;You're really not, you know.;
;Warrior 3 (Warrior Speaking);And that's another thing!;And that's another thing!;
;Warrior 3 (Warrior Speaking);I'm beginning to think you might not|have our best interests at heart!;I'm beginning to think you might not|have our best interests at heart!;
;Warrior 3 (Lady Luck Speaking);...You're not the smartest of my little battlers, are you?;...You're not the smartest of my little battlers, are you?;
;Warrior 3 (Lady Luck Speaking);Of course I don't have your best interests at heart.;Of course I don't have your best interests at heart.;
;Warrior 3 (Lady Luck Speaking);I don't even have a heart to *theoretically*|have them at in the first place.;I don't even have a heart to *theoretically*|have them at in the first place.;
;Warrior 3 (Lady Luck Speaking);But what I do have is... more monsters for|you to fight! In you go!;But what I do have is... more monsters for|you to fight! In you go!;
;Thief 1 (Lady Luck);Put your hands together for the next hapless-;Put your hands together for the next hapless-;
;Thief 1 (Lady Luck);er, HOPEFUL challenger!;er, HOPEFUL challenger!;
;Thief 1 (Lady Luck);He's got big hopes, big dreams...;He's got big hopes, big dreams...;
;Thief 1 (Lady Luck);...and he signed a legally binding agreement not to sue us!;...and he signed a legally binding agreement not to sue us!;
;Thief 1 (Lady Luck);It's... the Thief!;It's... the Thief!;
;Thief 1 (Thief);Wait, you meant that dice thing literally?;Wait, you meant that dice thing literally?;
;Thief 1 (Lady Luck);I mean *everything* literally.;I mean *everything* literally.;
;Thief 1 (Lady Luck);So tell me, Thief, what brings you to|my arena of terrible fate?;So tell me, Thief, what brings you to|my arena of terrible fate?;
;Thief 1 (Thief);Okay. A dice.;Okay. A dice.;
;Thief 1 (Thief);Good.;Good.;
;Thief 1 (Thief);Right, well, my friends don't seem to be |taking this seriously, but I am.;Right, well, my friends don't seem to be |taking this seriously, but I am.;
;Thief 1 (Thief);And I'm going to win a billion dollars.;And I'm going to win a billion dollars.;
;Thief 1 (Lady Luck);Mmm. And what will you do with the money if you win?;Mmm. And what will you do with the money if you win?;
;Thief 1 (Thief);Anything I want.;Anything I want.;
;Thief 1 (Thief);For the rest of my life.;For the rest of my life.;
;Thief 1 (Lady Luck);Well, fortune favours the bold.;Well, fortune favours the bold.;
;Thief 1 (Lady Luck);At least, that's what people who haven't|met me sometimes believe.;At least, that's what people who haven't|met me sometimes believe.;
;Thief 1 (Lady Luck);Let's get started!;Let's get started!;
;Thief 2 (Lady Luck);Welcome back! This episode we'll be checking in with|our cleverest little cube-boy, the Thief!;Welcome back! This episode we'll be checking in with|our cleverest little cube-boy, the Thief!;
;Thief 2 (Thief);It'll take more than a few monsters to|keep me from my rightful reward!;It'll take more than a few monsters to|keep me from my rightful reward!;
;Thief 2 (Lady Luck);It's lovely that you're still so confident.;It's lovely that you're still so confident.;
;Thief 2 (Lady Luck);No doubts?;No doubts?;
;Thief 2 (Lady Luck);No creeping fear that you might have risked it all|only to end up trapped here for eternity?;No creeping fear that you might have risked it all|only to end up trapped here for eternity?;
;Thief 2 (Thief);...|no?;...|no?;
;Thief 2 (Lady Luck);Well, I'm very glad to hear it.;Well, I'm very glad to hear it.;
;Thief 2 (Lady Luck);I'd wish you luck, but that always seems hypocritical,|given I'm the one handing it out.;I'd wish you luck, but that always seems hypocritical,|given I'm the one handing it out.;
;Thief 2 (Lady Luck);Off you go!;Off you go!;
;Thief 3 (Lady Luck);How are you doing, my dear?;How are you doing, my dear?;
;Thief 3 (Lady Luck);You're the little realist of your group - are you|going to be the first to see sense and give up?;You're the little realist of your group - are you|going to be the first to see sense and give up?;
;Thief 3 (Lady Luck);It's not so bad, being a minion - we've got a ball pit in the staff|room, and there are free muffins in the kitchen every morning!;It's not so bad, being a minion - we've got a ball pit in the staff|room, and there are free muffins in the kitchen every morning!;
;Thief 3 (Thief);None of us are going to give up.;None of us are going to give up.;
;Thief 3 (Thief);We came to win, and we're going to do it.;We came to win, and we're going to do it.;
;Thief 3 (Thief);All of us.;All of us.;
;Thief 3 (Lady Luck);What a strange time for you to develop a|sense of solidarity, my dear!;What a strange time for you to develop a|sense of solidarity, my dear!;
;Thief 3 (Lady Luck);Perhaps this will make you reconsider:;Perhaps this will make you reconsider:;
;Thief 3 (Lady Luck);If you give up first, I'll let you spend a whole|hour outside the Dungeons every year.;If you give up first, I'll let you spend a whole|hour outside the Dungeons every year.;
;Thief 3 (Lady Luck);That'll make your eternal imprisonment|sting even more sweetly.;That'll make your eternal imprisonment|sting even more sweetly.;
;Thief 3 (Thief);...that's not even a good offer!|That's a terrible offer!;...that's not even a good offer!|That's a terrible offer!;
;Thief 3 (Thief);Also: no!;Also: no!;
;Thief 3 (Lady Luck);Oh, it's definitely a dreadful offer!;Oh, it's definitely a dreadful offer!;
;Thief 3 (Lady Luck);But by the time this is over, you might|just wish you'd taken it...;But by the time this is over, you might|just wish you'd taken it...;
;Robot 1 (Lady Luck);Our next contestant works hard, plays hard,|and most importantly: tries hard.;Our next contestant works hard, plays hard,|and most importantly: tries hard.;
;Robot 1 (Lady Luck);Some might say TOO hard?;Some might say TOO hard?;
;Robot 1 (Lady Luck);...but that's not our place to judge!;...but that's not our place to judge!;
;Robot 1 (Lady Luck);Instead, let's give a warm welcome to...;Instead, let's give a warm welcome to...;
;Robot 1 (Lady Luck);... the Robot!;... the Robot!;
;Robot 1 (Robot);Woo! Here we go!;Woo! Here we go!;
;Robot 1 (Robot);Thank you, Lady Luck!;Thank you, Lady Luck!;
;Robot 1 (Robot);I'm really excited to begin this|journey to a better self!;I'm really excited to begin this|journey to a better self!;
;Robot 1 (Lady Luck);And what do you hope to win?;And what do you hope to win?;
;Robot 1 (Robot);I want to eliminate my need to sleep.;I want to eliminate my need to sleep.;
;Robot 1 (Lady Luck);... uh, I'm sorry?;... uh, I'm sorry?;
;Robot 1 (Robot);With an extra eight hours a day, I can|truly become the best 'me' I can be!;With an extra eight hours a day, I can|truly become the best 'me' I can be!;
;Robot 1 (Lady Luck);Why not just play for immortality?;Why not just play for immortality?;
;Robot 1 (Lady Luck);Then you'd have all the time in the world.;Then you'd have all the time in the world.;
;Robot 1 (Robot);All the research shows that personal change is|more sustainable if you start small.;All the research shows that personal change is|more sustainable if you start small.;
;Robot 1 (Robot);I'm gonna try for immortality next time!;I'm gonna try for immortality next time!;
;Robot 1 (Lady Luck);Oh my dear!;Oh my dear!;
;Robot 1 (Lady Luck);There won't be a next time.;There won't be a next time.;
;Robot 1 (Lady Luck);Just try to make the most of this one. In you go!;Just try to make the most of this one. In you go!;
;Robot 2 (Lady Luck);BZZZZT! BEEP! It's our little optimised optimist the Robot!;BZZZZT! BEEP! It's our little optimised optimist the Robot!;
;Robot 2 (Lady Luck);How are the calculations coming along, my dear?;How are the calculations coming along, my dear?;
;Robot 2 (Robot);They're good!;They're good!;
;Robot 2 (Robot);Er, I don't really beep, you know.;Er, I don't really beep, you know.;
;Robot 2 (Lady Luck);I do know, yes. Still keen to be the|very best version of yourself?;I do know, yes. Still keen to be the|very best version of yourself?;
;Robot 2 (Robot);Well! Yes!;Well! Yes!;
;Robot 2 (Robot);But I was wondering...;But I was wondering...;
;Robot 2 (Robot);Since I've completed some of my episodes...;Since I've completed some of my episodes...;
;Robot 2 (Robot);Could I maybe leave now and just win, say,|two hours less sleep a night?;Could I maybe leave now and just win, say,|two hours less sleep a night?;
;Robot 2 (Lady Luck);Oh, what an interesting idea!|Let me have a think...;Oh, what an interesting idea!|Let me have a think...;
;Robot 2 (Lady Luck);No. No, you obviously can't.;No. No, you obviously can't.;
;Robot 2 (Lady Luck);Haven't you been paying any attention at all?;Haven't you been paying any attention at all?;
;Robot 2 (Lady Luck);Get back in the Dungeons, pal-culator.;Get back in the Dungeons, pal-culator.;
;Robot 3 (Lady Luck);Hey! How's the self-improvement going?;Hey! How's the self-improvement going?;
;Robot 3 (Lady Luck);Are you the best possible version of yourself yet?;Are you the best possible version of yourself yet?;
;Robot 3 (Lady Luck);I only want top-quality minions in my dungeons.;I only want top-quality minions in my dungeons.;
;Robot 3 (Robot);...not yet! But I'm gonna try harder.;...not yet! But I'm gonna try harder.;
;Robot 3 (Robot);I'm still going to win.;I'm still going to win.;
;Robot 3 (Lady Luck);Ah, bless your heart. Never give up hope.;Ah, bless your heart. Never give up hope.;
;Robot 3 (Lady Luck);Keep believing that this time, THIS|time, it might all be okay...;Keep believing that this time, THIS|time, it might all be okay...;
;Robot 3 (Robot);It might!;It might!;
;Robot 3 (Robot);You know what? I think it|will be! I can feel it!;You know what? I think it|will be! I can feel it!;
;Robot 3 (Lady Luck);Well, you'd better hope it happens soon - your time's running |out, so quick, get in there and get fighting...;Well, you'd better hope it happens soon - your time's running |out, so quick, get in there and get fighting...;
;Inventor 1 (Lady Luck);It's time to meet the fourth member of our little squad!;It's time to meet the fourth member of our little squad!;
;Inventor 1 (Lady Luck);What she lacks in attention span, she makes up for in ingenuity.;What she lacks in attention span, she makes up for in ingenuity.;
;Inventor 1 (Lady Luck);Yes, that's right - it's time for...;Yes, that's right - it's time for...;
;Inventor 1 (Lady Luck);... the Inventor!;... the Inventor!;
;Inventor 1 (Inventor);Wait, how did you do that?;Wait, how did you do that?;
;Inventor 1 (Inventor);I'm really a dice?;I'm really a dice?;
;Inventor 1 (Inventor);Oh wow, my little legs.;Oh wow, my little legs.;
;Inventor 1 (Inventor);This shouldn't be possible!;This shouldn't be possible!;
;Inventor 1 (Lady Luck);I'm the all-powerful personification of fate,|my dear - everything's possible.;I'm the all-powerful personification of fate,|my dear - everything's possible.;
;Inventor 1 (Lady Luck);Now, what brought you to the Dungeons this evening?;Now, what brought you to the Dungeons this evening?;
;Inventor 1 (Inventor);Oh, we all caught the train together!;Oh, we all caught the train together!;
;Inventor 1 (Inventor);It was one of the new model T-132s|with the regenerative brakes!;It was one of the new model T-132s|with the regenerative brakes!;
;Inventor 1 (Lady Luck);...I see. Yes.;...I see. Yes.;
;Inventor 1 (Lady Luck);But what, my dear, are you hoping to WIN?;But what, my dear, are you hoping to WIN?;
;Inventor 1 (Inventor);Complete understanding of everything in the universe!;Complete understanding of everything in the universe!;
;Inventor 1 (Lady Luck);...I can tell we're going to have a wonderful|time in the Dungeons tonight.;...I can tell we're going to have a wonderful|time in the Dungeons tonight.;
;Inventor 1 (Lady Luck);So let's get started!;So let's get started!;
;Inventor 2 (Lady Luck);Inventor, my determined little friend.;Inventor, my determined little friend.;
;Inventor 2 (Lady Luck);How are you getting on with my Dungeons?;How are you getting on with my Dungeons?;
;Inventor 2 (Inventor);You know, I'm not 100% sure they're fair.;You know, I'm not 100% sure they're fair.;
;Inventor 2 (Inventor);I think some episodes might|be harder than others.;I think some episodes might|be harder than others.;
;Inventor 2 (Lady Luck);Oh gosh! Surely not! How terribly unjust that would be.;Oh gosh! Surely not! How terribly unjust that would be.;
;Inventor 2 (Lady Luck);I must look into it.;I must look into it.;
;Inventor 2 (Inventor);...and actually...;...and actually...;
;Inventor 2 (Inventor);... the more I think about it the more it seems|like you must have realised already...;... the more I think about it the more it seems|like you must have realised already...;
;Inventor 2 (Lady Luck);I don't think that can possibly be true, my dear.;I don't think that can possibly be true, my dear.;
;Inventor 2 (Lady Luck);It doesn't sound like me at all.;It doesn't sound like me at all.;
;Inventor 2 (Lady Luck);ANYWAY, in you go! Have a great episode!;ANYWAY, in you go! Have a great episode!;
;Inventor 2 (Lady Luck);Don't get trapped forever!;Don't get trapped forever!;
;Inventor 3 (Lady Luck);Welcome back, my little cubeling! It's so lovely to-;Welcome back, my little cubeling! It's so lovely to-;
;Inventor 3 (Inventor);Nope! Not listening! I'm not interested|in talking to you any more!;Nope! Not listening! I'm not interested|in talking to you any more!;
;Inventor 3 (Lady Luck);But I was about to make you a very|generous offer, my dear.;But I was about to make you a very|generous offer, my dear.;
;Inventor 3 (Lady Luck);Are you telling me you're not interested|in... making a deal?;Are you telling me you're not interested|in... making a deal?;
;Inventor 3 (Inventor);LA LA LA LA NOT LISTENING!;LA LA LA LA NOT LISTENING!;
;Inventor 3 (Inventor);You're a fraud and a cheat and I'm not|going to waste time arguing with you!;You're a fraud and a cheat and I'm not|going to waste time arguing with you!;
;Inventor 3 (Inventor);I'm figuring this whole place out|and I'm making a plan...;I'm figuring this whole place out|and I'm making a plan...;
;Inventor 3 (Inventor);...so you might as well just put me back|in for another fight RIGHT NOW.;...so you might as well just put me back|in for another fight RIGHT NOW.;
;Inventor 3 (Lady Luck);... well, if you insist. You don't have|much time left, after all.;... well, if you insist. You don't have|much time left, after all.;
;Inventor 3 (Lady Luck);Let's just try another little twist on the|rules, and see how you like THAT...;Let's just try another little twist on the|rules, and see how you like THAT...;
;Witch 1 (Lady Luck);It's time to meet our final contestant - an aspiring|vlogger who's cast a spell over us all!;It's time to meet our final contestant - an aspiring|vlogger who's cast a spell over us all!;
;Witch 1 (Lady Luck);Here she is -;Here she is -;
;Witch 1 (Lady Luck);the social media medium –;the social media medium –;
;Witch 1 (Lady Luck);ready to enter the Dungeons as...;ready to enter the Dungeons as...;
;Witch 1 (Lady Luck);... the Witch!;... the Witch!;
;Witch 1 (Witch);Oh my god, I'm really a dice!;Oh my god, I'm really a dice!;
;Witch 1 (Witch);Is this a new chat filter?;Is this a new chat filter?;
;Witch 1 (Witch);And Lady Luck, I can't believe I'm|meeting you in person!;And Lady Luck, I can't believe I'm|meeting you in person!;
;Witch 1 (Witch);Can I get a selfie?;Can I get a selfie?;
;Witch 1 (Lady Luck);There'll be plenty of time for that later,|my little flatterer.;There'll be plenty of time for that later,|my little flatterer.;
;Witch 1 (Lady Luck);Now, what has lured you to my realms of mystery?;Now, what has lured you to my realms of mystery?;
;Witch 1 (Witch);Honestly, I'm just SO happy to be here.;Honestly, I'm just SO happy to be here.;
;Witch 1 (Witch);I'm super excited to go wherever fate takes me!;I'm super excited to go wherever fate takes me!;
;Witch 1 (Lady Luck);You know that if you don't ask for something specific,|you won't get a prize, even if you win?;You know that if you don't ask for something specific,|you won't get a prize, even if you win?;
;Witch 1 (Witch);...Oh!;...Oh!;
;Witch 1 (Witch);Hmm, in that case how about...|ten million followers.;Hmm, in that case how about...|ten million followers.;
;Witch 1 (Witch);Real ones too, not bots this time...;Real ones too, not bots this time...;
;Witch 1 (Lady Luck);That's more like it. Now let's play!;That's more like it. Now let's play!;
;Witch 2 (Lady Luck);My wonderful Witch! How have you been|enjoying your time in the Dungeons?;My wonderful Witch! How have you been|enjoying your time in the Dungeons?;
;Witch 2 (Lady Luck);Too easy, perhaps? Maybe I'll crank up the difficulty.;Too easy, perhaps? Maybe I'll crank up the difficulty.;
;Witch 2 (Witch);It's okay. I can do this.;It's okay. I can do this.;
;Witch 2 (Witch);It'll be fine! It'll all be fine.;It'll be fine! It'll all be fine.;
;Witch 2 (Lady Luck);That's the spirit, my dear!;That's the spirit, my dear!;
;Witch 2 (Lady Luck);That can-do attitude is why you're my favourite.;That can-do attitude is why you're my favourite.;
